Age,Gender,City,Income Range,Employment Status,Order Frequency,Platforms Used,Meal Types,Preferred Cuisines,Spend per Order,Order Influence,Veg Preference,Combo Preference,Group Size,New Combo Likeliness (1-5),Satisfaction (1-5),Acceptable Delivery Time,Repeat Order,Recommended to Others,Tried TasteMate,Experience Rating,Loyalty Program Interest,Preferred Order Day,Communication Opt-in,Delivery Issues
55+,Female,Mumbai,₹30k–50k,Working professional,Daily,Swiggy,"Snacks, Dinner, Breakfast",Indian,<₹100,Delivery time,Both,Combo,Large group,2,4,45+ min,Sometimes,Yes,Yes,1.0,Maybe,Sat,No,Cold food
25–34,Male,Chennai,₹30k–50k,Working professional,2–3 times/week,Others,Snacks,Fusion,₹100–200,Packaging,Both,A la carte,2 people,4,3,20–30 min,Yes,Yes,Yes,3.0,No,Fri,No,Poor packaging
25–34,Female,Delhi,₹15k–30k,Student,Rarely,"Direct, Zomato","Snacks, Breakfast, Dinner","Chinese, Indian",₹100–200,"Packaging, Discounts, Quantity",Veg,A la carte,Family (3–4),2,5,30–45 min,Yes,Yes,No,,Yes,Mon,No,High price
35–44,Male,Pune,₹30k–50k,Working professional,Once a week,Direct,"Dinner, Breakfast, Lunch",Continental,₹200–400,Price,Both,Depends,Large group,3,2,<20 min,No,No,No,,Yes,Thu,Yes,Limited choice
25–34,Female,Pune,₹15k–30k,Working professional,2–3 times/week,Direct,Lunch,Chinese,₹400–600,Packaging,Non-Veg,Depends,2 people,2,4,20–30 min,Yes,No,No,,Yes,Mon,No,Limited choice
25–34,Male,Mumbai,₹75k+,Working professional,Daily,"Zomato, Others, Swiggy",Snacks,Fusion,₹100–200,Quantity,Non-Veg,A la carte,2 people,3,2,30–45 min,Sometimes,No,No,,Maybe,Fri,Yes,Long wait time
25–34,Male,Bangalore,₹30k–50k,Working professional,Daily,Swiggy,Lunch,Italian,₹200–400,Packaging,Non-Veg,Combo,Solo,3,5,20–30 min,Yes,No,No,,Yes,Sun,Yes,"Cold food, Long wait time, High price"
45–54,Male,Kolkata,₹30k–50k,Homemaker,Never,Zomato,Dinner,Fusion,₹200–400,"Quantity, Taste, Discounts",Veg,Depends,Solo,4,3,30–45 min,Sometimes,Yes,Yes,3.0,No,Mon,Yes,Poor packaging
<18,Male,Bangalore,₹30k–50k,Student,Once a week,Others,Lunch,Continental,₹200–400,"Price, Taste",Non-Veg,A la carte,Solo,1,4,30–45 min,Sometimes,No,No,,No,Wed,No,Poor packaging
18–24,Female,Pune,<₹15k,Working professional,Daily,Direct,Lunch,Italian,₹100–200,Discounts,Both,A la carte,Solo,1,4,20–30 min,No,No,Yes,2.0,Yes,Sat,No,Limited choice
55+,Male,Bangalore,<₹15k,Homemaker,2–3 times/week,Swiggy,Breakfast,Italian,1500,"Price, Quantity, Discounts",Veg,Combo,Solo,1,3,30–45 min,Yes,No,Yes,5.0,Yes,Mon,No,Long wait time
45–54,Male,Delhi,₹30k–50k,Working professional,Rarely,Direct,Snacks,Continental,₹100–200,"Packaging, Delivery time",Veg,A la carte,Solo,3,4,20–30 min,No,Yes,No,,Yes,Mon,Yes,Limited choice
25–34,Male,Delhi,<₹15k,Working professional,Once a week,Others,Lunch,Continental,<₹100,"Price, Packaging, Discounts",Veg,Combo,Solo,4,5,20–30 min,Yes,No,No,,Maybe,Fri,Yes,Long wait time
25–34,Male,Delhi,₹30k–50k,Working professional,Daily,Swiggy,Dinner,Italian,₹600+,Price,Non-Veg,Depends,Solo,5,1,30–45 min,Yes,No,No,,Maybe,Sat,No,Limited choice
18–24,Male,Chennai,₹50k–75k,Working professional,2–3 times/week,Zomato,Breakfast,Fusion,₹100–200,Delivery time,Both,A la carte,Solo,2,5,20–30 min,Sometimes,Yes,No,,Maybe,Sat,Yes,Poor packaging
18–24,Male,Delhi,₹50k–75k,Homemaker,Once a week,"Zomato, Direct","Dinner, Snacks, Breakfast",Continental,<₹100,"Price, Discounts",Both,Depends,Solo,3,4,30–45 min,No,No,No,,Maybe,Sat,No,Cold food
25–34,Female,Bangalore,₹30k–50k,Homemaker,2–3 times/week,"Swiggy, Direct","Snacks, Breakfast, Dinner",Italian,₹400–600,"Discounts, Packaging, Price",Both,A la carte,2 people,4,5,20–30 min,Sometimes,No,No,,Yes,Thu,Yes,Long wait time
25–34,Female,Bangalore,₹15k–30k,Working professional,2–3 times/week,Zomato,Dinner,"Italian, Continental",₹100–200,Taste,Both,Combo,2 people,2,3,20–30 min,Yes,Yes,No,,Yes,Sun,No,Cold food
25–34,Female,Bangalore,₹50k–75k,Working professional,2–3 times/week,Direct,"Lunch, Snacks",Continental,₹200–400,Price,Veg,Depends,Solo,3,4,30–45 min,Yes,No,No,,Maybe,Mon,No,High price
18–24,Male,Pune,₹50k–75k,Student,Rarely,Swiggy,Breakfast,Continental,₹100–200,Delivery time,Both,A la carte,2 people,3,5,20–30 min,Sometimes,No,No,,Maybe,Thu,Yes,Limited choice
55+,Male,Kolkata,₹15k–30k,Working professional,2–3 times/week,"Swiggy, Direct, Zomato",Snacks,Fusion,₹100–200,"Delivery time, Discounts",Both,Combo,Family (3–4),2,3,20–30 min,No,No,Yes,4.0,No,Thu,Yes,Cold food
55+,Female,Bangalore,₹50k–75k,Working professional,2–3 times/week,Direct,"Snacks, Lunch",Chinese,₹100–200,"Price, Discounts, Packaging",Non-Veg,A la carte,Solo,1,4,<20 min,No,Yes,No,,No,Tue,Yes,Limited choice
35–44,Female,Chennai,₹15k–30k,Working professional,2–3 times/week,Direct,Snacks,Italian,₹100–200,Packaging,Both,Combo,2 people,2,1,30–45 min,No,No,No,,Yes,Thu,No,Cold food
25–34,Male,Chennai,₹50k–75k,Working professional,Once a week,Direct,"Breakfast, Snacks, Lunch",Italian,₹200–400,Quantity,Both,Depends,Large group,4,3,<20 min,Yes,Yes,Yes,3.0,Yes,Fri,No,"High price, Cold food"
25–34,Male,Bangalore,₹75k+,Working professional,Once a week,Others,Dinner,"Indian, Fusion",₹200–400,Discounts,Both,A la carte,Family (3–4),1,4,30–45 min,Sometimes,Yes,No,,No,Fri,No,High price
35–44,Male,Kolkata,<₹15k,Student,2–3 times/week,Direct,"Dinner, Breakfast","Chinese, Indian, Continental",₹200–400,Delivery time,Non-Veg,Depends,Solo,2,4,20–30 min,Yes,No,No,,Maybe,Thu,Yes,"Limited choice, High price, Long wait time"
35–44,Male,Delhi,₹50k–75k,Working professional,2–3 times/week,Direct,Dinner,Fusion,₹400–600,Packaging,Both,Combo,2 people,3,4,30–45 min,No,No,Yes,3.0,Yes,Sat,No,"Cold food, Limited choice"
18–24,Male,Mumbai,₹30k–50k,Working professional,Once a week,Others,Dinner,Fusion,<₹100,Quantity,Veg,Combo,Solo,1,2,45+ min,No,No,Yes,2.0,Yes,Sat,Yes,High price
45–54,Female,Pune,₹75k+,Homemaker,2–3 times/week,Swiggy,Breakfast,Chinese,₹200–400,"Quantity, Discounts",Non-Veg,Depends,2 people,2,3,20–30 min,Sometimes,Yes,No,,Yes,Wed,Yes,"Poor packaging, Cold food"
35–44,Female,Bangalore,₹30k–50k,Student,2–3 times/week,Swiggy,Breakfast,"Continental, Fusion",1000,"Quantity, Packaging, Price",Non-Veg,Depends,Large group,5,3,20–30 min,No,Yes,No,,Yes,Thu,No,Limited choice
45–54,Female,Chennai,₹50k–75k,Working professional,Once a week,Others,"Dinner, Breakfast, Snacks",Italian,₹400–600,Delivery time,Veg,Combo,2 people,1,4,30–45 min,Yes,No,No,,No,Wed,Yes,Long wait time
35–44,Female,Pune,<₹15k,Retired,2–3 times/week,Direct,"Dinner, Breakfast, Lunch","Continental, Fusion, Indian",<₹100,Price,Veg,Combo,Family (3–4),4,5,30–45 min,No,Yes,Yes,5.0,Maybe,Tue,Yes,"Cold food, Poor packaging"
25–34,Female,Mumbai,₹15k–30k,Student,Once a week,"Direct, Swiggy",Lunch,"Continental, Indian",₹200–400,Delivery time,Veg,Combo,Solo,3,4,20–30 min,Yes,No,Yes,4.0,Maybe,Sat,Yes,Long wait time
25–34,Female,Pune,<₹15k,Working professional,Rarely,"Direct, Swiggy, Others","Lunch, Snacks",Indian,₹400–600,Delivery time,Both,A la carte,Large group,4,2,30–45 min,Yes,No,No,,Maybe,Mon,Yes,Long wait time
45–54,Female,Bangalore,₹75k+,Student,Rarely,"Others, Zomato","Dinner, Breakfast, Snacks",Fusion,₹100–200,Discounts,Both,Depends,2 people,3,5,30–45 min,Yes,No,No,,No,Tue,Yes,"Poor packaging, Limited choice, High price"
45–54,Male,Bangalore,₹50k–75k,Working professional,Daily,Direct,"Breakfast, Snacks",Indian,₹400–600,Discounts,Both,Depends,Solo,2,4,30–45 min,No,Yes,No,,Yes,Tue,Yes,Limited choice
<18,Male,Hyderabad,₹50k–75k,Working professional,Once a week,Direct,Snacks,Continental,<₹100,Quantity,Non-Veg,A la carte,2 people,4,4,30–45 min,Yes,No,No,,Maybe,Sat,No,Poor packaging
<18,Male,Pune,₹75k+,Working professional,Daily,Direct,Snacks,"Fusion, Indian, Continental",₹200–400,Delivery time,Non-Veg,Depends,Solo,3,2,20–30 min,No,No,No,,Yes,Mon,Yes,Limited choice
25–34,Female,Mumbai,<₹15k,Working professional,Rarely,Direct,Dinner,Indian,₹400–600,Packaging,Both,A la carte,Solo,4,4,45+ min,Sometimes,Yes,Yes,5.0,Maybe,Sat,Yes,High price
35–44,Female,Bangalore,₹30k–50k,Retired,Daily,Swiggy,"Dinner, Lunch",Italian,₹200–400,Discounts,Veg,Combo,Family (3–4),3,3,20–30 min,Sometimes,Yes,Yes,5.0,Maybe,Mon,Yes,Poor packaging
55+,Male,Hyderabad,<₹15k,Student,Once a week,Others,Dinner,"Italian, Chinese, Indian",₹200–400,Delivery time,Both,A la carte,Solo,5,3,<20 min,Yes,Yes,No,,Yes,Sat,No,Poor packaging
18–24,Female,Hyderabad,₹15k–30k,Student,2–3 times/week,Direct,Dinner,Fusion,<₹100,"Packaging, Discounts",Both,Depends,Family (3–4),4,1,20–30 min,Yes,Yes,No,,No,Sun,Yes,Cold food
25–34,Male,Hyderabad,₹15k–30k,Retired,Rarely,Zomato,Dinner,Italian,₹400–600,Packaging,Veg,Depends,Solo,5,3,<20 min,No,No,No,,Yes,Fri,No,Limited choice
25–34,Female,Mumbai,₹30k–50k,Working professional,2–3 times/week,Others,Dinner,"Chinese, Indian",₹200–400,Quantity,Both,A la carte,Solo,3,2,<20 min,Sometimes,No,No,,Yes,Sat,Yes,Poor packaging
55+,Male,Delhi,₹15k–30k,Retired,2–3 times/week,"Direct, Zomato",Dinner,Indian,<₹100,Packaging,Both,A la carte,Large group,3,3,20–30 min,Yes,No,No,,Yes,Sat,Yes,Poor packaging
35–44,Male,Delhi,₹15k–30k,Working professional,2–3 times/week,Swiggy,"Snacks, Dinner",Chinese,₹200–400,Price,Veg,Depends,Solo,4,2,<20 min,Sometimes,Yes,Yes,2.0,Maybe,Sat,Yes,Long wait time
35–44,Female,Chennai,₹15k–30k,Homemaker,2–3 times/week,Swiggy,"Snacks, Dinner, Lunch",Fusion,₹200–400,Packaging,Veg,A la carte,2 people,5,4,30–45 min,No,No,Yes,5.0,Maybe,Sat,Yes,Limited choice
25–34,Male,Delhi,₹15k–30k,Working professional,Once a week,"Others, Zomato",Lunch,Continental,₹100–200,"Delivery time, Packaging",Veg,Combo,2 people,5,1,<20 min,No,Yes,Yes,4.0,Yes,Wed,No,Cold food
25–34,Male,Delhi,₹75k+,Homemaker,2–3 times/week,Others,Snacks,"Indian, Italian, Continental",₹100–200,Quantity,Non-Veg,Depends,2 people,3,4,20–30 min,Sometimes,No,Yes,1.0,Yes,Fri,Yes,Cold food
18–24,Male,Kolkata,₹50k–75k,Retired,Once a week,Swiggy,Lunch,"Chinese, Italian, Indian",<₹100,Taste,Non-Veg,Depends,Family (3–4),4,2,<20 min,Sometimes,No,No,,No,Sun,Yes,Poor packaging
18–24,Female,Mumbai,₹75k+,Working professional,2–3 times/week,Zomato,Dinner,Italian,₹200–400,Price,Non-Veg,Combo,2 people,2,5,<20 min,Sometimes,No,Yes,1.0,Yes,Thu,Yes,Cold food
45–54,Female,Kolkata,₹30k–50k,Student,Once a week,Others,"Dinner, Breakfast, Snacks",Chinese,₹200–400,Packaging,Veg,A la carte,Solo,3,5,20–30 min,Yes,No,Yes,4.0,No,Sun,Yes,"Poor packaging, Cold food, High price"
35–44,Male,Hyderabad,₹15k–30k,Working professional,2–3 times/week,Direct,Dinner,"Continental, Indian, Chinese",₹200–400,"Packaging, Quantity",Both,A la carte,Family (3–4),2,3,20–30 min,No,No,No,,No,Fri,No,Limited choice
55+,Female,Chennai,₹50k–75k,Student,Once a week,"Swiggy, Direct","Lunch, Dinner",Continental,₹400–600,Delivery time,Non-Veg,Combo,Solo,3,4,45+ min,No,No,No,,Yes,Fri,Yes,Cold food
55+,Female,Delhi,₹15k–30k,Working professional,Daily,"Zomato, Others","Snacks, Breakfast",Fusion,₹400–600,Packaging,Veg,Depends,2 people,5,1,30–45 min,Yes,No,No,,Yes,Sat,Yes,"Limited choice, Poor packaging, Long wait time"
25–34,Male,Mumbai,₹15k–30k,Working professional,Daily,Direct,"Lunch, Dinner, Snacks",Indian,₹200–400,Price,Non-Veg,A la carte,Large group,2,5,30–45 min,No,Yes,No,,No,Sat,Yes,Poor packaging
35–44,Male,Hyderabad,₹15k–30k,Working professional,Once a week,"Swiggy, Zomato, Direct",Breakfast,"Italian, Fusion",<₹100,"Packaging, Quantity",Non-Veg,Depends,2 people,4,4,20–30 min,Yes,No,No,,Yes,Thu,Yes,"High price, Poor packaging"
45–54,Male,Chennai,₹15k–30k,Working professional,Once a week,"Direct, Zomato, Others",Breakfast,Chinese,₹200–400,"Quantity, Discounts",Non-Veg,Combo,Family (3–4),3,1,20–30 min,Yes,No,No,,Yes,Mon,No,Poor packaging
35–44,Male,Hyderabad,₹15k–30k,Working professional,Once a week,"Direct, Swiggy",Dinner,Indian,₹200–400,Quantity,Veg,A la carte,2 people,2,3,<20 min,Yes,Yes,Yes,2.0,Yes,Sat,No,Cold food
18–24,Female,Mumbai,₹30k–50k,Working professional,Rarely,Direct,Breakfast,Indian,₹200–400,Taste,Veg,Combo,Family (3–4),3,2,30–45 min,Sometimes,Yes,Yes,3.0,Yes,Sun,Yes,Limited choice
25–34,Male,Chennai,₹30k–50k,Student,2–3 times/week,Others,"Snacks, Lunch",Italian,₹200–400,Price,Both,Depends,Family (3–4),3,3,<20 min,Sometimes,No,No,,Maybe,Fri,Yes,Long wait time
18–24,Female,Chennai,<₹15k,Student,2–3 times/week,Swiggy,Lunch,"Fusion, Indian, Italian",₹100–200,Packaging,Both,A la carte,Solo,2,4,20–30 min,No,Yes,No,,Maybe,Tue,Yes,"Limited choice, Long wait time"
55+,Female,Hyderabad,₹15k–30k,Student,Once a week,Zomato,Dinner,Chinese,₹400–600,Price,Non-Veg,A la carte,Solo,4,4,20–30 min,No,Yes,No,,No,Wed,No,Long wait time
25–34,Male,Chennai,₹50k–75k,Working professional,2–3 times/week,"Zomato, Swiggy",Breakfast,Continental,₹100–200,Price,Non-Veg,Combo,Solo,5,3,20–30 min,Yes,No,Yes,2.0,Yes,Sun,Yes,Poor packaging
18–24,Female,Chennai,₹15k–30k,Working professional,Rarely,Zomato,Breakfast,Continental,₹200–400,"Taste, Price",Both,Combo,2 people,2,2,45+ min,Sometimes,No,No,,Yes,Mon,Yes,Cold food
35–44,Male,Hyderabad,₹15k–30k,Working professional,Rarely,Swiggy,"Breakfast, Dinner","Fusion, Indian, Italian",<₹100,Packaging,Both,Combo,Solo,2,3,30–45 min,No,No,No,,Yes,Fri,Yes,High price
25–34,Non-binary,Mumbai,₹50k–75k,Working professional,2–3 times/week,"Zomato, Swiggy, Direct","Lunch, Snacks","Chinese, Fusion, Italian",₹400–600,Discounts,Non-Veg,Combo,Solo,3,2,30–45 min,Sometimes,Yes,No,,Maybe,Tue,Yes,High price
25–34,Female,Bangalore,₹15k–30k,Homemaker,Once a week,Others,"Dinner, Snacks, Lunch",Fusion,₹100–200,Price,Both,A la carte,Solo,4,5,20–30 min,Sometimes,Yes,Yes,4.0,Yes,Wed,No,"Poor packaging, Limited choice"
18–24,Female,Mumbai,<₹15k,Student,Once a week,Swiggy,"Snacks, Dinner, Lunch",Continental,<₹100,"Packaging, Quantity, Delivery time",Non-Veg,A la carte,Large group,2,2,30–45 min,Yes,Yes,No,,No,Thu,Yes,Poor packaging
35–44,Female,Bangalore,₹30k–50k,Working professional,Once a week,Direct,Breakfast,"Indian, Italian",₹100–200,Taste,Non-Veg,A la carte,2 people,1,4,30–45 min,No,Yes,No,,Yes,Wed,Yes,High price
25–34,Male,Bangalore,₹15k–30k,Working professional,Once a week,Zomato,Snacks,"Fusion, Italian, Chinese",₹100–200,"Taste, Quantity, Price",Both,A la carte,Solo,3,3,45+ min,Sometimes,Yes,No,,Maybe,Sat,Yes,Limited choice
35–44,Female,Mumbai,₹30k–50k,Homemaker,Once a week,Swiggy,Breakfast,"Continental, Indian, Fusion",₹100–200,Price,Both,Combo,Solo,5,3,20–30 min,Yes,No,Yes,5.0,Maybe,Thu,Yes,"Long wait time, Cold food"
25–34,Female,Delhi,₹50k–75k,Retired,Once a week,Direct,"Dinner, Snacks, Breakfast",Italian,₹200–400,Delivery time,Both,Combo,Solo,3,4,20–30 min,No,Yes,No,,Yes,Thu,Yes,Limited choice
45–54,Female,Mumbai,₹15k–30k,Student,2–3 times/week,Zomato,Breakfast,"Chinese, Indian",₹200–400,Delivery time,Veg,Combo,Solo,3,4,30–45 min,Sometimes,Yes,Yes,1.0,Maybe,Fri,Yes,Cold food
25–34,Female,Chennai,₹30k–50k,Student,Rarely,Zomato,Snacks,"Chinese, Indian, Fusion",<₹100,Quantity,Non-Veg,Depends,Solo,5,3,20–30 min,Yes,Yes,Yes,5.0,Yes,Sun,No,Cold food
25–34,Female,Pune,₹30k–50k,Retired,2–3 times/week,"Zomato, Swiggy",Snacks,"Continental, Fusion",₹100–200,Price,Non-Veg,A la carte,Family (3–4),4,4,30–45 min,Sometimes,Yes,No,,No,Sat,Yes,Long wait time
45–54,Male,Mumbai,₹15k–30k,Working professional,Rarely,Swiggy,"Breakfast, Dinner","Chinese, Continental",₹400–600,Quantity,Non-Veg,Combo,Large group,4,4,45+ min,Sometimes,Yes,Yes,2.0,Yes,Mon,No,"Cold food, Poor packaging, High price"
25–34,Male,Kolkata,₹30k–50k,Working professional,Daily,Zomato,"Snacks, Dinner",Continental,₹200–400,"Packaging, Quantity, Taste",Both,Combo,Solo,3,3,20–30 min,Sometimes,Yes,No,,Yes,Mon,Yes,"Poor packaging, Long wait time"
18–24,Female,Bangalore,₹15k–30k,Working professional,Once a week,Swiggy,Dinner,Continental,₹200–400,Discounts,Both,Depends,Solo,5,4,20–30 min,Yes,No,No,,Yes,Fri,Yes,Poor packaging
<18,Male,Delhi,₹30k–50k,Working professional,Daily,"Zomato, Direct",Lunch,Fusion,₹200–400,Packaging,Both,Depends,Solo,4,4,20–30 min,Yes,Yes,Yes,4.0,Maybe,Sun,No,"Limited choice, Poor packaging"
35–44,Female,Mumbai,<₹15k,Retired,Once a week,Zomato,Dinner,"Chinese, Indian",₹100–200,Price,Both,A la carte,Solo,5,1,30–45 min,Yes,Yes,No,,Maybe,Thu,No,Long wait time
25–34,Female,Bangalore,₹30k–50k,Other,2–3 times/week,Direct,"Dinner, Breakfast, Lunch","Chinese, Fusion, Italian",<₹100,"Price, Delivery time",Veg,A la carte,Solo,4,4,30–45 min,Sometimes,Yes,No,,Yes,Wed,Yes,High price
35–44,Male,Chennai,₹15k–30k,Homemaker,2–3 times/week,Zomato,Dinner,Indian,₹100–200,Quantity,Both,Combo,Solo,4,2,<20 min,Sometimes,Yes,Yes,1.0,No,Sat,No,Limited choice
18–24,Male,Hyderabad,₹50k–75k,Working professional,Never,Swiggy,Breakfast,Chinese,₹400–600,Price,Both,Depends,Solo,2,3,20–30 min,No,Yes,No,,Yes,Fri,Yes,"Long wait time, High price, Limited choice"
18–24,Female,Mumbai,<₹15k,Retired,Once a week,Zomato,Breakfast,Chinese,₹600+,Quantity,Non-Veg,Depends,Family (3–4),3,4,<20 min,Yes,Yes,No,,Yes,Fri,Yes,Long wait time
<18,Male,Mumbai,₹30k–50k,Student,Once a week,Direct,"Lunch, Snacks, Breakfast",Italian,₹200–400,Price,Both,Combo,2 people,4,5,30–45 min,Yes,Yes,No,,Maybe,Tue,Yes,High price
25–34,Female,Bangalore,₹30k–50k,Working professional,Rarely,Zomato,"Breakfast, Snacks, Dinner","Fusion, Indian, Chinese",<₹100,"Taste, Discounts",Veg,Depends,2 people,2,5,20–30 min,Sometimes,No,Yes,4.0,Yes,Tue,Yes,"Cold food, Poor packaging"
25–34,Male,Delhi,₹50k–75k,Retired,Once a week,"Others, Direct",Lunch,Italian,₹100–200,Taste,Both,Depends,Solo,3,2,20–30 min,Sometimes,Yes,No,,No,Wed,Yes,"Cold food, High price, Limited choice"
25–34,Female,Delhi,₹30k–50k,Working professional,Daily,Others,Snacks,Indian,₹100–200,Taste,Non-Veg,Combo,Family (3–4),2,3,30–45 min,Sometimes,Yes,Yes,1.0,Yes,Wed,Yes,Limited choice
25–34,Male,Delhi,₹30k–50k,Working professional,Daily,Others,Dinner,"Chinese, Indian, Continental",₹200–400,"Taste, Quantity, Packaging",Veg,A la carte,Large group,4,4,<20 min,Sometimes,Yes,No,,Yes,Sun,Yes,High price
45–54,Female,Chennai,₹50k–75k,Student,Rarely,Others,Dinner,Chinese,<₹100,"Quantity, Discounts",Both,Combo,Solo,2,2,20–30 min,Sometimes,Yes,No,,Yes,Mon,Yes,Limited choice
25–34,Male,Pune,₹50k–75k,Retired,Never,Others,Breakfast,Italian,₹400–600,"Taste, Discounts, Price",Both,Combo,Solo,4,4,20–30 min,Sometimes,Yes,No,,Maybe,Fri,No,Cold food
25–34,Female,Bangalore,₹15k–30k,Working professional,Never,Zomato,Dinner,Fusion,₹100–200,"Quantity, Price, Taste",Veg,Depends,2 people,4,4,20–30 min,No,Yes,No,,Maybe,Fri,Yes,"Cold food, Poor packaging"
35–44,Male,Pune,₹30k–50k,Working professional,Once a week,"Direct, Swiggy",Lunch,Chinese,₹400–600,Price,Veg,Combo,Solo,2,5,20–30 min,Yes,Yes,No,,Yes,Thu,Yes,Cold food
25–34,Female,Delhi,₹50k–75k,Working professional,Rarely,Direct,"Snacks, Breakfast, Lunch",Indian,₹200–400,Discounts,Non-Veg,Depends,Solo,3,1,45+ min,Sometimes,Yes,No,,Maybe,Sun,No,"Long wait time, Limited choice, Cold food"
25–34,Female,Bangalore,₹75k+,Homemaker,2–3 times/week,"Swiggy, Others, Direct","Snacks, Breakfast, Lunch","Chinese, Continental, Indian",₹200–400,"Delivery time, Taste, Quantity",Non-Veg,Depends,2 people,2,3,30–45 min,No,Yes,No,,Maybe,Sat,Yes,Long wait time
45–54,Male,Delhi,₹50k–75k,Homemaker,2–3 times/week,Others,Snacks,Italian,₹200–400,"Price, Packaging, Discounts",Both,Combo,2 people,3,5,30–45 min,Yes,Yes,No,,Yes,Sun,Yes,Cold food
45–54,Male,Hyderabad,₹30k–50k,Working professional,Once a week,Others,Dinner,"Chinese, Italian",₹200–400,Quantity,Both,A la carte,Solo,3,4,45+ min,Yes,Yes,Yes,1.0,Yes,Tue,Yes,Limited choice
18–24,Male,Kolkata,₹15k–30k,Working professional,Daily,"Others, Zomato, Direct",Snacks,"Indian, Chinese, Fusion",₹200–400,Discounts,Non-Veg,Depends,2 people,1,5,20–30 min,Yes,No,Yes,1.0,Yes,Mon,Yes,Long wait time
45–54,Female,Hyderabad,₹30k–50k,Working professional,Never,"Swiggy, Zomato, Others",Snacks,Indian,₹200–400,Price,Both,Depends,Large group,5,2,20–30 min,No,No,No,,Yes,Tue,No,"Limited choice, Cold food, High price"
25–34,Female,Delhi,₹50k–75k,Other,Rarely,Swiggy,Breakfast,Indian,₹200–400,Packaging,Non-Veg,Depends,Solo,1,4,20–30 min,Yes,No,No,,No,Wed,Yes,Limited choice
18–24,Female,Hyderabad,₹30k–50k,Working professional,2–3 times/week,Swiggy,Dinner,"Chinese, Indian, Continental",₹600+,"Taste, Discounts",Both,Combo,2 people,4,4,30–45 min,Yes,No,Yes,2.0,Yes,Thu,Yes,Poor packaging
25–34,Male,Mumbai,₹30k–50k,Retired,Once a week,Others,Snacks,"Chinese, Italian, Continental",₹200–400,Quantity,Veg,A la carte,Solo,3,1,30–45 min,No,No,Yes,4.0,Yes,Sun,Yes,Cold food
55+,Male,Pune,₹50k–75k,Working professional,2–3 times/week,"Zomato, Direct, Swiggy",Snacks,Fusion,₹200–400,Price,Non-Veg,A la carte,Solo,4,4,20–30 min,Yes,No,Yes,3.0,Yes,Wed,Yes,High price
25–34,Female,Bangalore,₹30k–50k,Homemaker,Rarely,"Swiggy, Direct",Breakfast,"Italian, Indian, Chinese",₹400–600,Discounts,Both,Depends,2 people,3,4,20–30 min,Sometimes,No,No,,Yes,Sun,Yes,Long wait time
25–34,Female,Bangalore,₹50k–75k,Homemaker,Daily,"Direct, Zomato",Snacks,"Indian, Fusion",₹100–200,Discounts,Veg,Combo,Solo,4,3,20–30 min,No,Yes,No,,No,Fri,No,"High price, Limited choice, Cold food"
25–34,Prefer not to say,Bangalore,₹30k–50k,Working professional,2–3 times/week,Swiggy,Snacks,Indian,<₹100,"Delivery time, Discounts, Quantity",Both,Depends,Solo,4,3,20–30 min,No,Yes,No,,No,Fri,No,Poor packaging
18–24,Male,Hyderabad,₹15k–30k,Other,Once a week,Others,Breakfast,Continental,₹200–400,Price,Both,Combo,Solo,4,4,30–45 min,Yes,No,No,,Yes,Wed,No,"Poor packaging, Limited choice"
18–24,Female,Mumbai,₹30k–50k,Working professional,2–3 times/week,Swiggy,Breakfast,Fusion,₹200–400,Discounts,Non-Veg,Depends,2 people,2,4,20–30 min,Yes,No,No,,Yes,Tue,Yes,Limited choice
18–24,Male,Hyderabad,₹50k–75k,Student,2–3 times/week,Direct,Dinner,Chinese,₹400–600,Packaging,Non-Veg,A la carte,2 people,4,5,45+ min,Yes,Yes,No,,Yes,Sun,Yes,Cold food
18–24,Male,Delhi,₹15k–30k,Working professional,Rarely,Direct,Snacks,Continental,₹200–400,Packaging,Both,A la carte,Solo,2,3,20–30 min,Sometimes,No,Yes,3.0,Maybe,Tue,No,Cold food
18–24,Female,Hyderabad,₹15k–30k,Homemaker,2–3 times/week,Zomato,"Dinner, Lunch, Snacks",Indian,₹200–400,Quantity,Both,A la carte,2 people,1,3,30–45 min,Sometimes,Yes,Yes,3.0,Yes,Sat,Yes,Long wait time
18–24,Female,Chennai,₹75k+,Working professional,2–3 times/week,Direct,Breakfast,"Fusion, Continental, Indian",₹200–400,Price,Veg,Combo,Solo,3,5,45+ min,Yes,Yes,No,,Yes,Fri,No,Poor packaging
25–34,Prefer not to say,Chennai,₹15k–30k,Working professional,2–3 times/week,Others,"Lunch, Dinner, Breakfast","Fusion, Italian",<₹100,Discounts,Non-Veg,Combo,2 people,3,5,45+ min,No,Yes,No,,Yes,Sun,No,Long wait time
18–24,Male,Bangalore,₹30k–50k,Working professional,Once a week,"Others, Direct, Zomato",Snacks,Continental,₹200–400,Quantity,Both,Combo,Solo,3,1,<20 min,Yes,Yes,No,,Yes,Sat,No,"High price, Long wait time, Limited choice"
25–34,Male,Bangalore,₹30k–50k,Working professional,Never,Others,Breakfast,"Chinese, Fusion, Continental",₹400–600,"Packaging, Discounts, Taste",Non-Veg,Combo,2 people,4,4,20–30 min,Sometimes,Yes,No,,Yes,Wed,Yes,Cold food
